id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
49001,Абаджиев,Абаджиев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49002,Аврамов,Аврамов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49003,Агура,Агура,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49004,Адамс,Адамс,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49005,Аладжов,Аладжов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49006,Александров,Александров,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49007,Алексиев,Алексиев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49008,Алексов,Алексов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49009,Алфонсо,Алфонсо,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49010,Ангелов,Ангелов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49011,Апостолов,Апостолов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49012,Арсов,Арсов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49013,Асенов,Асенов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49014,Атанасов,Атанасов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49015,Бальови,Бальови,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49016,Бачев,Бачев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49017,Бейли,Бейли,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49018,Бенет,Бенет,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49019,Блакторн,Блакторн,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49020,Блейк,Блейк,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49021,Блек,Блек,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49022,Богоев,Богоев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49023,Божков,Божков,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49024,Борисов,Борисов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49025,Ботев,Ботев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49026,Бояджиев,Бояджиев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49027,Ванков,Ванков,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49028,Ванчев,Ванчев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49029,Василев,Василев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49030,Великов,Великов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49031,Велинов,Велинов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49032,Виденов,Виденов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49033,Владимиров,Владимиров,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49034,Влахов,Влахов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49035,Воденичаров,Воденичаров,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49036,Вутов,Вутов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49037,Вуцов,Вуцов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49038,Ганев,Ганев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49039,Гемеджиев,Гемеджиев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49040,Горанов,Горанов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
49041,Гоцев,Гоцев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.unisex,Category:Bulgarian surnames
