id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
19658,Aifric,Aifric,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19659,Áine,Áine,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19660,Aisling,Aisling,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19661,Aoife,Aoife,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19662,Bairbre,Bairbre,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19663,Bríd,Bríd,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19664,Brighid,Brighid,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19665,Brónach,Brónach,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19666,Cadhla,Cadhla,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19667,Cáit,Cáit,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19668,Caitlín,Caitlín,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19669,Caitríona,Caitríona,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19670,Caoimhe,Caoimhe,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19671,Ceana,Ceana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19672,Deirdre,Deirdre,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19673,Eithne,Eithne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19674,Eoinícé,Eoinícé,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19675,Fionnghuala,Fionnghuala,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19676,Gráinne,Gráinne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19677,Lasairfhíona,Lasairfhíona,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19678,Máire,Máire,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19679,Máiréad,Máiréad,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19680,Máirín,Máirín,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19681,Mairsile,Mairsile,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19682,Meadhbh,Meadhbh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19683,Meidhbhín,Meidhbhín,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19684,Niamh,Niamh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19685,Nollaig,Nollaig,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19686,Nóra,Nóra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19687,Órfhlaith,Órfhlaith,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19688,Peige,Peige,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19689,Proinséas,Proinséas,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19690,Réiltín,Réiltín,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19691,Róis,Róis,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19692,Róisín,Róisín,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19693,Sadhbh,Sadhbh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19694,Saoirse,Saoirse,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19695,Síle,Síle,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19696,Sinéad,Sinéad,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19697,Siobhán,Siobhán,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19698,Sisile,Sisile,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19699,Sorcha,Sorcha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19700,Úna,Úna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19701,Victeoiria,Victeoiria,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.female,Category:Irish female given names
19702,Ádhamh,Ádhamh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.male,Category:Irish male given names
19703,Adhamhnán,Adhamhnán,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.male,Category:Irish male given names
19704,Ailbín,Ailbín,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.male,Category:Irish male given names
